Part Name,Part Type,HP %,Fuel %,Attack %,Ether Attack %,Defense %,Ether Defense %,Accuracy %,Evasion %,Fuel Consumption %,Description
Aegis-VII Combat Array,Head,+20,0,0,0,+15,+5,0,-5,+5,Heavily armored sensor package - durable but slow
Nexus Targeting Matrix,Head,-5,+2,+15,+10,0,0,+20,0,+8,Advanced targeting system - fragile but accurate
Wraith ECM Suite,Head,0,+10,0,0,0,+15,-10,+25,0,Electronic countermeasures - evasive but inaccurate
Sentinel Basic Array,Head,0,+2,0,0,0,0,+5,+5,-2,Standard military sensor suite
Oracle Command Node,Head,-10,+25,0,+15,0,+10,+15,+5,-10,Command and control systems - strategic but vulnerable
Predator Kill-Suite,Head,+2,0,+20,+5,+2,0,+25,-5,+20,Predatory targeting system - deadly but demanding
Phantom Cloak Array,Head,-10,+12,0,0,-5,+5,-15,+40,-17,Cloaking and dampening tech - evasive but blind
Bastion Defense Grid,Head,+32,-5,0,0,+27,+15,-10,-15,+25,Maximum protection system - tough but cumbersome
Synaptic Link Core,Head,-15,+17,+10,+25,0,+15,+10,+10,-2,Brain-machine interface - powerful but risky
Quantum Sight Array,Head,0,+32,0,+20,0,+20,+20,0,-2,Exotic detection array - advanced but power hungry
Viper Strike Head,Head,+5,0,+25,0,0,0,+30,-5,+10,Lightning-fast targeting system - quick but limited
Hydra Multi-Sensor,Head,-5,+20,+10,+10,0,+5,+15,+10,+5,Multi-spectrum analysis array - versatile but complex
Cerberus Guardian,Head,+25,0,0,0,+20,+20,-5,-10,+10,Triple-layered defense system - protective but heavy
Phoenix Rebirth Core,Head,+10,+42,-5,-5,+5,+5,0,0,-30,Self-repairing sensor suite - resilient but passive
Titan Fortress Head,Head,+40,-10,0,0,+35,+10,-15,-20,+35,Impenetrable armor plating - invulnerable but cumbersome
Valkyrie War Crown,Head,+2,+5,+30,+15,+2,0,+20,+15,+15,Combat-enhanced neural interface - deadly but demanding
Reaper Skull Array,Head,-10,0,+35,+20,+5,0,+15,-10,+35,Death-dealing sensor system - lethal but grim
